date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 07:49:15.342651000 EST,192.168.4.140,192.168.4.137,3306,58343,0,0x0004
Mar  8, 2024 07:49:15.342977000 EST,192.168.4.137,192.168.4.140,58343,587,0,0x0014
Mar  8, 2024 07:49:15.343475000 EST,192.168.4.137,192.168.4.140,58343,445,5840,0x0012
Mar  8, 2024 07:49:15.343475000 EST,192.168.4.137,192.168.4.140,58343,995,0,0x0014
Mar  8, 2024 07:49:15.343560000 EST,192.168.4.140,192.168.4.137,445,58343,0,0x0004
Mar  8, 2024 07:49:15.344498000 EST,192.168.4.137,192.168.4.140,58343,53,5840,0x0012
Mar  8, 2024 07:49:15.344499000 EST,192.168.4.137,192.168.4.140,58343,8888,0,0x0014
Mar  8, 2024 07:49:15.344610000 EST,192.168.4.140,192.168.4.137,53,58343,0,0x0004
Mar  8, 2024 07:49:15.344967000 EST,192.168.4.137,192.168.4.140,58343,443,0,0x0014
Mar  8, 2024 07:49:15.345269000 EST,192.168.4.137,192.168.4.140,58343,24,0,0x0014
Mar  8, 2024 07:49:15.345757000 EST,192.168.4.137,192.168.4.140,58343,6025,0,0x0014
Mar  8, 2024 07:49:15.345896000 EST,192.168.4.140,192.168.4.137,3827,58343,1024,0x0002
Mar  8, 2024 07:49:15.346070000 EST,192.168.4.140,192.168.4.137,3300,58343,1024,0x0002
Mar  8, 2024 07:49:15.346173000 EST,192.168.4.140,192.168.4.137,2010,58343,1024,0x0002
Mar  8, 2024 07:49:15.346271000 EST,192.168.4.140,192.168.4.137,51103,58343,1024,0x0002
Mar  8, 2024 07:49:15.346364000 EST,192.168.4.140,192.168.4.137,13722,58343,1024,0x0002
Mar  8, 2024 07:49:15.346471000 EST,192.168.4.140,192.168.4.137,54328,58343,1024,0x0002
Mar  8, 2024 07:49:15.346588000 EST,192.168.4.140,192.168.4.137,62078,58343,1024,0x0002
Mar  8, 2024 07:49:15.346686000 EST,192.168.4.140,192.168.4.137,1080,58343,1024,0x0002
Mar  8, 2024 07:49:15.346808000 EST,192.168.4.140,192.168.4.137,16992,58343,1024,0x0002
Mar  8, 2024 07:49:15.346904000 EST,192.168.4.140,192.168.4.137,1130,58343,1024,0x0002
Mar  8, 2024 07:49:15.347007000 EST,192.168.4.140,192.168.4.137,3333,58343,1024,0x0002
Mar  8, 2024 07:49:15.347103000 EST,192.168.4.140,192.168.4.137,999,58343,1024,0x0002
Mar  8, 2024 07:49:15.347204000 EST,192.168.4.140,192.168.4.137,1083,58343,1024,0x0002
Mar  8, 2024 07:49:15.347309000 EST,192.168.4.140,192.168.4.137,3703,58343,1024,0x0002
Mar  8, 2024 07:49:15.347407000 EST,192.168.4.140,192.168.4.137,1455,58343,1024,0x0002
Mar  8, 2024 07:49:15.347518000 EST,192.168.4.140,192.168.4.137,4449,58343,1024,0x0002
Mar  8, 2024 07:49:15.347617000 EST,192.168.4.140,192.168.4.137,5566,58343,1024,0x0002
Mar  8, 2024 07:49:15.347713000 EST,192.168.4.140,192.168.4.137,2135,58343,1024,0x0002
Mar  8, 2024 07:49:15.347817000 EST,192.168.4.140,192.168.4.137,1434,58343,1024,0x0002
Mar  8, 2024 07:49:15.347913000 EST,192.168.4.140,192.168.4.137,11110,58343,1024,0x0002
Mar  8, 2024 07:49:15.348004000 EST,192.168.4.140,192.168.4.137,4129,58343,1024,0x0002
